bank_ref,value_date,credit_amount,narration
UTR400000,2026-08-02,28271.16,NEFT-RAZORPAY-pay_100000
UTR400001,2026-08-21,32487.73,NEFT-RAZORPAY-pay_100001
UTR400002,2026-08-10,1782.89,NEFT-RAZORPAY-pay_100002
UTR400003,2026-08-25,24874.19,NEFT-RAZORPAY-pay_100003
UTR400004,2026-08-03,26091.67,NEFT-RAZORPAY-pay_100004
UTR400005,2026-08-12,7243.76,NEFT-RAZORPAY-pay_100005
UTR400007,2026-08-20,32194.9,NEFT-RAZORPAY-pay_100007
UTR400008,2026-08-25,13226.73,NEFT-RAZORPAY-pay_100008
UTR400009,2026-08-04,31101.7,NEFT-RAZORPAY-pay_100009
UTR400010,2026-08-15,38136.74,NEFT-RAZORPAY-pay_100010
UTR400011,2026-08-13,16340.08,NEFT-RAZORPAY-pay_100011
UTR400012,2026-08-24,30982.15,NEFT-RAZORPAY-pay_100012
UTR400013,2026-08-10,23696.47,NEFT-RAZORPAY-pay_100013
UTR400014,2026-08-24,43482.79,NEFT-RAZORPAY-pay_100014
UTR400017,2026-08-24,13736.17,NEFT-RAZORPAY-pay_100017
UTR400018,2026-08-08,6695.95,NEFT-RAZORPAY-pay_100018
UTR400019,2026-08-18,32945.8,NEFT-RAZORPAY-pay_100019
UTR400020,2026-08-09,43821.81,NEFT-RAZORPAY-pay_100020
UTR400021,2026-08-05,2535.4,NEFT-RAZORPAY-pay_100021
UTR400022,2026-08-06,18830.97,NEFT-RAZORPAY-pay_100022
UTR400023,2026-08-12,20824.87,NEFT-RAZORPAY-pay_100023
UTR400024,2026-08-20,5465.45,NEFT-RAZORPAY-pay_100024
UTR400025,2026-08-17,19378.65,NEFT-RAZORPAY-pay_100025
UTR400026,2026-08-07,22546.86,NEFT-RAZORPAY-pay_100026
UTR400027,2026-08-11,6924.83,NEFT-RAZORPAY-pay_100027
UTR400028,2026-08-06,21718.02,NEFT-RAZORPAY-pay_100028
UTR400029,2026-08-20,10954.03,NEFT-RAZORPAY-pay_100029
UTR400030,2026-08-19,35944.24,NEFT-RAZORPAY-pay_100030
UTR400032,2026-08-10,18873.46,NEFT-RAZORPAY-pay_100032
UTR400033,2026-08-23,17394.53,NEFT-RAZORPAY-pay_100033
UTR400034,2026-08-04,11259.65,NEFT-RAZORPAY-pay_100034
UTR400035,2026-08-09,10486.64,NEFT-RAZORPAY-pay_100035
UTR400036,2026-08-05,3046.25,NEFT-RAZORPAY-pay_100036
UTR400037,2026-08-19,10829.46,NEFT-RAZORPAY-pay_100037
UTR400038,2026-08-23,41136.1,NEFT-RAZORPAY-pay_100038
UTR400039,2026-08-15,21038.78,NEFT-RAZORPAY-pay_100039
UTR400041,2026-08-22,2841.93,NEFT-RAZORPAY-pay_100041
UTR400042,2026-08-05,15230.83,NEFT-RAZORPAY-pay_100042
UTR400043,2026-08-16,19980.37,NEFT-RAZORPAY-pay_100043
UTR400044,2026-08-07,38484.43,NEFT-RAZORPAY-pay_100044
UTR400045,2026-08-19,27776.95,NEFT-RAZORPAY-pay_100045
UTR400047,2026-08-08,39699.17,NEFT-RAZORPAY-pay_100047
UTR400048,2026-08-17,40745.22,NEFT-RAZORPAY-pay_100048
UTR400049,2026-08-20,32228.51,NEFT-RAZORPAY-pay_100049
UTR400050,2026-08-07,9947.26,NEFT-RAZORPAY-pay_100050
UTR400051,2026-08-06,14114.26,NEFT-RAZORPAY-pay_100051
UTR400052,2026-08-09,37538.71,NEFT-RAZORPAY-pay_100052
UTR400053,2026-08-21,8562.26,NEFT-RAZORPAY-pay_100053
UTR400054,2026-08-22,41400.37,NEFT-RAZORPAY-pay_100054
UTR400055,2026-08-19,27400.21,NEFT-RAZORPAY-pay_100055
UTR400056,2026-08-08,41101.0,NEFT-RAZORPAY-pay_100056
UTR400057,2026-08-23,6174.83,NEFT-RAZORPAY-pay_100057
UTR400058,2026-08-05,33156.56,NEFT-RAZORPAY-pay_100058
UTR400059,2026-08-07,24950.16,NEFT-RAZORPAY-pay_100059
UTR400060,2026-08-13,12011.11,NEFT-RAZORPAY-pay_100060
UTR400061,2026-08-21,7342.24,NEFT-RAZORPAY-pay_100061
