settlement_id,txn_ref,settlement_date,gross_amount,fee,net_amount
stl_300000,pay_100000,2026-08-02,28954.49,683.33,28271.16
stl_300001,pay_100001,2026-08-19,33272.97,785.24,32487.73
stl_300002,pay_100002,2026-08-08,1825.98,43.09,1782.89
stl_300003,pay_100003,2026-08-24,25475.41,601.22,24874.19
stl_300004,pay_100004,2026-08-02,26722.32,630.65,26091.67
stl_300005,pay_100005,2026-08-12,7418.84,175.08,7243.76
stl_300006,pay_100006,2026-08-15,16474.58,388.8,16085.78
stl_300007,pay_100007,2026-08-19,32973.06,778.16,32194.9
stl_300008,pay_100008,2026-08-24,13546.43,319.7,13226.73
stl_300009,pay_100009,2026-08-03,31853.45,751.74,31101.71
stl_300010,pay_100010,2026-08-14,39058.52,921.78,38136.74
stl_300011,pay_100011,2026-08-13,16735.03,394.95,16340.08
stl_300012,pay_100012,2026-08-22,31731.0,748.85,30982.15
stl_300013,pay_100013,2026-08-09,24269.22,572.75,23696.47
stl_300014,pay_100014,2026-08-24,44533.79,1051.0,43482.79
stl_300015,pay_100015,2026-08-03,38006.91,896.96,37109.95
stl_300016,pay_100016,2026-08-04,18351.83,433.1,17918.73
stl_300017,pay_100017,2026-08-23,14503.17,342.27,14160.9
stl_300018,pay_100018,2026-08-06,6857.79,161.84,6695.95
stl_300019,pay_100019,2026-08-17,33742.11,796.31,32945.8
stl_300020,pay_100020,2026-08-08,44881.0,1059.19,43821.81
stl_300021,pay_100021,2026-08-05,2596.68,61.28,2535.4
stl_300022,pay_100022,2026-08-05,19286.12,455.15,18830.97
stl_300023,pay_100023,2026-08-12,21328.22,503.35,20824.87
stl_300024,pay_100024,2026-08-19,5597.55,132.1,5465.45
stl_300025,pay_100025,2026-08-16,19847.05,468.39,19378.66
stl_300026,pay_100026,2026-08-05,23091.83,544.97,22546.86
stl_300027,pay_100027,2026-08-09,7301.35,172.31,7129.04
stl_300028,pay_100028,2026-08-05,22242.95,524.93,21718.02
stl_300029,pay_100029,2026-08-20,11218.79,264.76,10954.03
stl_300030,pay_100030,2026-08-19,36813.03,868.79,35944.24
stl_300031,pay_100031,2026-08-07,42634.77,1006.18,41628.59
stl_300032,pay_100032,2026-08-10,19329.64,456.18,18873.46
stl_300033,pay_100033,2026-08-22,18255.16,430.82,17824.34
stl_300034,pay_100034,2026-08-04,11531.8,272.15,11259.65
stl_300035,pay_100035,2026-08-09,10740.11,253.47,10486.64
stl_300036,pay_100036,2026-08-04,3119.88,73.63,3046.25
stl_300037,pay_100037,2026-08-17,11091.21,261.75,10829.46
stl_300038,pay_100038,2026-08-22,42130.38,994.28,41136.1
stl_300039,pay_100039,2026-08-15,21547.3,508.52,21038.78
stl_300040,pay_100040,2026-08-16,19681.78,464.49,19217.29
stl_300041,pay_100041,2026-08-22,2910.62,68.69,2841.93
stl_300042,pay_100042,2026-08-05,15598.97,368.14,15230.83
stl_300043,pay_100043,2026-08-15,20463.3,482.93,19980.37
stl_300044,pay_100044,2026-08-05,39414.62,930.19,38484.43
stl_300045,pay_100045,2026-08-19,29520.45,696.68,28823.77
stl_300046,pay_100046,2026-08-18,7900.84,186.46,7714.38
stl_300047,pay_100047,2026-08-08,40658.71,959.55,39699.16
stl_300048,pay_100048,2026-08-16,41730.05,984.83,40745.22
stl_300049,pay_100049,2026-08-20,33007.49,778.98,32228.51
stl_300050,pay_100050,2026-08-05,10187.69,240.43,9947.26
stl_300051,pay_100051,2026-08-05,14455.41,341.15,14114.26
stl_300052,pay_100052,2026-08-07,38446.04,907.33,37538.71
stl_300053,pay_100053,2026-08-21,8769.21,206.95,8562.26
stl_300054,pay_100054,2026-08-20,42401.03,1000.66,41400.37
stl_300055,pay_100055,2026-08-17,28062.48,662.27,27400.21
stl_300056,pay_100056,2026-08-08,42094.43,993.43,41101.0
stl_300057,pay_100057,2026-08-22,6324.08,149.25,6174.83
stl_300058,pay_100058,2026-08-04,33957.97,801.41,33156.56
stl_300059,pay_100059,2026-08-05,25553.22,603.06,24950.16
stl_300060,pay_100060,2026-08-13,12301.42,290.31,12011.11
stl_300061,pay_100061,2026-08-19,7519.73,177.47,7342.26
